WE(1).Potential (V),WE(1).Current (A),Corrected time (s)
3.248901367,-2.699066162,1903.399995
3.248901367,-2.699066162,1903.599995
3.248596191,-2.698791504,1903.799995
3.248596191,-2.699066162,1903.999995
3.248596191,-2.69934082,1904.199995
3.248596191,-2.699066162,1904.399995
3.248596191,-2.69934082,1904.599995
3.248291016,-2.699615479,1904.799995
3.248291016,-2.69934082,1904.999995
3.248291016,-2.698516846,1905.199995
3.248291016,-2.699066162,1905.399995
3.248291016,-2.69934082,1905.599995
3.248291016,-2.698791504,1905.799995
3.24798584,-2.698516846,1905.999995
3.24798584,-2.698791504,1906.199995
3.24798584,-2.69934082,1906.399995
3.24798584,-2.698791504,1906.599995
3.24798584,-2.698516846,1906.799995
3.247680664,-2.698791504,1906.999995
3.247680664,-2.699890137,1907.199995
3.247680664,-2.699066162,1907.399995
3.247680664,-2.696044922,1907.599995
3.247680664,-2.698791504,1907.799995
3.247375488,-2.698791504,1907.999995
3.247375488,-2.69934082,1908.199995
3.247375488,-2.698516846,1908.399995
3.247375488,-2.699066162,1908.599995
3.247375488,-2.698516846,1908.799995
3.247070313,-2.698791504,1908.999995
3.247070313,-2.693023682,1909.199995
3.247070313,-2.69934082,1909.399995
3.247070313,-2.699066162,1909.599995
3.247070313,-2.69934082,1909.799995
3.246765137,-2.69934082,1909.999995
3.246765137,-2.697967529,1910.199995
3.246765137,-2.699066162,1910.399995
3.246765137,-2.699066162,1910.599995
3.246765137,-2.698791504,1910.799995
3.246765137,-2.699066162,1910.999995
3.246459961,-2.69631958,1911.199995
3.246459961,-2.699615479,1911.399995
3.246459961,-2.69934082,1911.599995
3.246459961,-2.699066162,1911.799995
3.246459961,-2.698791504,1911.999995
3.246459961,-2.698242188,1912.199995
3.246154785,-2.698791504,1912.399995
3.246154785,-2.699066162,1912.599995
3.246154785,-2.698791504,1912.799995
3.246154785,-2.698791504,1912.999995
3.246154785,-2.698516846,1913.199995
3.245849609,-2.698791504,1913.399995
3.245849609,-2.699066162,1913.599995
3.245849609,-2.69934082,1913.799995
3.245849609,-2.699066162,1913.999995
3.245849609,-2.698791504,1914.199995
3.245544434,-2.699066162,1914.399995
3.245544434,-2.699615479,1914.599995
3.245544434,-2.698791504,1914.799995
3.245544434,-2.699066162,1914.999995
3.245544434,-2.699066162,1915.199995
3.245239258,-2.699066162,1915.399995
3.245239258,-2.698791504,1915.599995
3.245239258,-2.699066162,1915.799995
3.245239258,-2.699066162,1915.999995
3.245239258,-2.699066162,1916.199995
3.244934082,-2.699066162,1916.399995
3.244934082,-2.699066162,1916.599995
3.244934082,-2.698791504,1916.799995
3.244934082,-2.699615479,1916.999995
3.244934082,-2.698791504,1917.199995
3.244934082,-2.698516846,1917.399995
3.244628906,-2.698791504,1917.599995
3.244628906,-2.699066162,1917.799995
3.244628906,-2.699066162,1917.999995
3.244628906,-2.699066162,1918.199995
3.244628906,-2.699890137,1918.399995
3.24432373,-2.699066162,1918.599995
3.24432373,-2.699615479,1918.799995
3.24432373,-2.700164795,1918.999995
3.24432373,-2.699066162,1919.199995
3.24432373,-2.698791504,1919.399995
3.244018555,-2.698791504,1919.599995
3.244018555,-2.699066162,1919.799995
3.244018555,-2.69934082,1919.999995
3.244018555,-2.698242188,1920.199995
3.244018555,-2.698791504,1920.399995
3.243713379,-2.698791504,1920.599995
3.243713379,-2.698791504,1920.799995
3.243713379,-2.698791504,1920.999995
3.243713379,-2.699066162,1921.199995
3.243713379,-2.698791504,1921.399995
3.243713379,-2.69934082,1921.599995
3.243408203,-2.69934082,1921.799995
3.243408203,-2.69934082,1921.999995
3.243408203,-2.699066162,1922.199995
3.243408203,-2.698516846,1922.399995
3.243408203,-2.69934082,1922.599995
3.243103027,-2.698516846,1922.799995
3.243103027,-2.698516846,1922.999995
3.243103027,-2.698791504,1923.199995
3.243103027,-2.699615479,1923.399995
3.243103027,-2.699615479,1923.599995
3.242797852,-2.698791504,1923.799995
3.242797852,-2.698791504,1923.999995
3.242797852,-2.699066162,1924.199995
3.242797852,-2.69934082,1924.399995
3.242797852,-2.698242188,1924.599995
3.242492676,-2.698791504,1924.799995
3.242492676,-2.699066162,1924.999995
3.242492676,-2.698516846,1925.199995
3.242492676,-2.698791504,1925.399995
3.242492676,-2.699615479,1925.599995
3.242492676,-2.698791504,1925.799995
3.2421875,-2.699066162,1925.999995
3.2421875,-2.699615479,1926.199995
3.2421875,-2.699066162,1926.399995
3.2421875,-2.699066162,1926.599995
3.241882324,-2.698791504,1926.799995
3.241882324,-2.699066162,1926.999995
3.241882324,-2.698516846,1927.199995
3.241882324,-2.698791504,1927.399995
3.241882324,-2.69934082,1927.599995
3.241882324,-2.699066162,1927.799995
3.241577148,-2.69934082,1927.999995
3.241577148,-2.698791504,1928.199995
3.241577148,-2.697692871,1928.399995
3.241577148,-2.698791504,1928.599995
3.241577148,-2.69934082,1928.799995
3.241271973,-2.698791504,1928.999995
3.241271973,-2.698516846,1929.199995
3.241271973,-2.698791504,1929.399995
3.241271973,-2.699066162,1929.599995
3.241271973,-2.698516846,1929.799995
3.240966797,-2.699066162,1929.999995
3.240966797,-2.698242188,1930.199995
3.240966797,-2.698791504,1930.399995
3.240966797,-2.699066162,1930.599995
3.240966797,-2.698791504,1930.799995
3.240661621,-2.698791504,1930.999995
3.240661621,-2.699066162,1931.199995
3.240661621,-2.699066162,1931.399995
3.240661621,-2.698791504,1931.599995
3.240661621,-2.698791504,1931.799995
3.240356445,-2.699066162,1931.999995
3.240356445,-2.699066162,1932.199995
3.240356445,-2.698516846,1932.399995
3.240356445,-2.699066162,1932.599995
3.240356445,-2.698791504,1932.799995
3.24005127,-2.700439453,1932.999995
3.24005127,-2.699066162,1933.199995
3.24005127,-2.699066162,1933.399995
3.24005127,-2.699066162,1933.599995
3.24005127,-2.699890137,1933.799995
3.24005127,-2.698791504,1933.999995
3.239746094,-2.699066162,1934.199995
3.239746094,-2.69934082,1934.399995
3.239746094,-2.699066162,1934.599995
3.239746094,-2.699066162,1934.799995
3.239746094,-2.698516846,1934.999995
3.239440918,-2.699066162,1935.199995
3.239440918,-2.699066162,1935.399995
3.239440918,-2.699066162,1935.599995
3.239440918,-2.699615479,1935.799995
3.239440918,-2.697692871,1935.999995
3.239135742,-2.699066162,1936.199995
3.239135742,-2.699066162,1936.399995
3.239135742,-2.699066162,1936.599995
3.239135742,-2.69934082,1936.799995
3.239135742,-2.698791504,1936.999995
3.238830566,-2.69934082,1937.199995
3.238830566,-2.699066162,1937.399995
3.238830566,-2.698242188,1937.599995
3.238830566,-2.699066162,1937.799995
3.238830566,-2.698516846,1937.999995
3.238830566,-2.69934082,1938.199995
3.238525391,-2.699615479,1938.399995
3.238525391,-2.69934082,1938.599995
3.238525391,-2.698516846,1938.799995
3.238525391,-2.702636719,1938.999995
3.238220215,-2.698791504,1939.199995
3.238220215,-2.698791504,1939.399995
3.238220215,-2.699615479,1939.599995
3.238220215,-2.699890137,1939.799995
3.238220215,-2.702087402,1939.999995
3.237915039,-2.699066162,1940.199995
3.237915039,-2.699066162,1940.399995
3.237915039,-2.698516846,1940.599995
3.237915039,-2.698791504,1940.799995
3.237915039,-2.69934082,1940.999995
3.237915039,-2.698791504,1941.199995
3.237609863,-2.69934082,1941.399995
3.237609863,-2.698516846,1941.599995
3.237609863,-2.699066162,1941.799995
3.237609863,-2.698791504,1941.999995
3.237304688,-2.698516846,1942.199995
3.237304688,-2.697967529,1942.399995
3.237304688,-2.699066162,1942.599995
3.237304688,-2.698516846,1942.799995
3.237304688,-2.698242188,1942.999995
3.237304688,-2.698516846,1943.199995
3.236999512,-2.699066162,1943.399995
3.236999512,-2.69934082,1943.599995
3.236999512,-2.698516846,1943.799995
3.236999512,-2.699615479,1943.999995
3.236999512,-2.69934082,1944.199995
3.236694336,-2.699066162,1944.399995
3.236694336,-2.69934082,1944.599995
3.236694336,-2.699066162,1944.799995
3.236694336,-2.698516846,1944.999995
3.236694336,-2.698516846,1945.199995
3.23638916,-2.696594238,1945.399995
3.23638916,-2.699066162,1945.599995
3.23638916,-2.699066162,1945.799995
3.23638916,-2.698791504,1945.999995
3.23638916,-2.699615479,1946.199995
3.236083984,-2.702362061,1946.399995
3.236083984,-2.698791504,1946.599995
3.236083984,-2.698791504,1946.799995
3.236083984,-2.699066162,1946.999995
3.236083984,-2.69934082,1947.199995
3.235778809,-2.699066162,1947.399995
3.235778809,-2.699066162,1947.599995
3.235778809,-2.699066162,1947.799995
3.235778809,-2.699615479,1947.999995
3.235778809,-2.698791504,1948.199995
3.235473633,-2.69934082,1948.399995
3.235473633,-2.699066162,1948.599995
3.235473633,-2.698791504,1948.799995
3.235473633,-2.699890137,1948.999995
3.235473633,-2.699615479,1949.199995
3.235168457,-2.69934082,1949.399995
3.235168457,-2.699615479,1949.599995
3.235168457,-2.699066162,1949.799995
3.235168457,-2.699066162,1949.999995
3.235168457,-2.699066162,1950.199995
3.234863281,-2.698516846,1950.399995
3.234863281,-2.698791504,1950.599995
3.234863281,-2.699066162,1950.799995
3.234863281,-2.699066162,1950.999995
3.234863281,-2.699066162,1951.199995
3.234558105,-2.698516846,1951.399995
3.234558105,-2.699066162,1951.599995
3.234558105,-2.698516846,1951.799995
3.234558105,-2.699066162,1951.999995
3.234558105,-2.698791504,1952.199995
3.23425293,-2.699615479,1952.399995
3.23425293,-2.698791504,1952.599995
3.23425293,-2.698791504,1952.799995
3.23425293,-2.698516846,1952.999995
3.23425293,-2.69934082,1953.199995
3.233947754,-2.698516846,1953.399995
3.233947754,-2.699066162,1953.599995
3.233947754,-2.699066162,1953.799995
3.233947754,-2.698791504,1953.999995
3.233947754,-2.699615479,1954.199995
3.233642578,-2.699066162,1954.399995
3.233642578,-2.69934082,1954.599995
3.233642578,-2.698791504,1954.799995
3.233642578,-2.698516846,1954.999995
3.233642578,-2.69934082,1955.199995
3.233337402,-2.69934082,1955.399995
3.233337402,-2.698791504,1955.599995
3.233337402,-2.698516846,1955.799995
3.233337402,-2.699615479,1955.999995
3.233337402,-2.699066162,1956.199995
3.233337402,-2.69934082,1956.399995
